DESCRIPCION;T.M.;MES;year
Fruta Recibida;4500.25;enero;2024
Fruta Proyectada;5200.00;enero;2024
Proyeccion Compra de Fruta Ajustada;4800.15;enero;2024
Fruta Recibida;5200.30;febrero;2024
Fruta Proyectada;5800.00;febrero;2024
Proyeccion Compra de Fruta Ajustada;5500.20;febrero;2024
Fruta Recibida;4800.45;marzo;2024
Fruta Proyectada;5400.00;marzo;2024
Proyeccion Compra de Fruta Ajustada;5100.35;marzo;2024
Fruta Recibida;6200.60;abril;2024
Fruta Proyectada;6800.00;abril;2024
Proyeccion Compra de Fruta Ajustada;6500.50;abril;2024
Fruta Recibida;5800.75;mayo;2024
Fruta Proyectada;6400.00;mayo;2024
Proyeccion Compra de Fruta Ajustada;6100.65;mayo;2024
Fruta Recibida;7200.90;junio;2024
Fruta Proyectada;7800.00;junio;2024
Proyeccion Compra de Fruta Ajustada;7500.80;junio;2024
Fruta Recibida;6800.15;julio;2024
Fruta Proyectada;7400.00;julio;2024
Proyeccion Compra de Fruta Ajustada;7100.05;julio;2024
Fruta Recibida;8200.40;agosto;2024
Fruta Proyectada;8800.00;agosto;2024
Proyeccion Compra de Fruta Ajustada;8500.30;agosto;2024
Fruta Recibida;7800.55;septiembre;2024
Fruta Proyectada;8400.00;septiembre;2024
Proyeccion Compra de Fruta Ajustada;8100.45;septiembre;2024
Fruta Recibida;9200.70;octubre;2024
Fruta Proyectada;9800.00;octubre;2024
Proyeccion Compra de Fruta Ajustada;9500.60;octubre;2024
Fruta Recibida;8800.85;noviembre;2024
Fruta Proyectada;9400.00;noviembre;2024
Proyeccion Compra de Fruta Ajustada;9100.75;noviembre;2024
Fruta Recibida;10200.00;diciembre;2024
Fruta Proyectada;10800.00;diciembre;2024
Proyeccion Compra de Fruta Ajustada;10500.90;diciembre;2024
