DESCRIPCION;T.M.;MES;year
Fruta Recibida;3200.15;enero;2024
Fruta Proyectada;3800.00;enero;2024
Proyeccion Compra de Fruta Ajustada;3500.10;enero;2024
Fruta Recibida;3400.25;febrero;2024
Fruta Proyectada;4000.00;febrero;2024
Proyeccion Compra de Fruta Ajustada;3700.20;febrero;2024
Fruta Recibida;3600.35;marzo;2024
Fruta Proyectada;4200.00;marzo;2024
Proyeccion Compra de Fruta Ajustada;3900.30;marzo;2024
Fruta Recibida;3800.45;abril;2024
Fruta Proyectada;4400.00;abril;2024
Proyeccion Compra de Fruta Ajustada;4100.40;abril;2024
Fruta Recibida;4000.55;mayo;2024
Fruta Proyectada;4600.00;mayo;2024
Proyeccion Compra de Fruta Ajustada;4300.50;mayo;2024
Fruta Recibida;4200.65;junio;2024
Fruta Proyectada;4800.00;junio;2024
Proyeccion Compra de Fruta Ajustada;4500.60;junio;2024
Fruta Recibida;15000.75;julio;2024
Fruta Proyectada;4800.00;julio;2024
Proyeccion Compra de Fruta Ajustada;4700.70;julio;2024
Fruta Recibida;4600.85;agosto;2024
Fruta Proyectada;5200.00;agosto;2024
Proyeccion Compra de Fruta Ajustada;4900.80;agosto;2024
Fruta Recibida;4800.95;septiembre;2024
Fruta Proyectada;5400.00;septiembre;2024
Proyeccion Compra de Fruta Ajustada;5100.90;septiembre;2024
Fruta Recibida;5000.05;octubre;2024
Fruta Proyectada;5600.00;octubre;2024
Proyeccion Compra de Fruta Ajustada;5300.00;octubre;2024
Fruta Recibida;200.15;noviembre;2024
Fruta Proyectada;5800.00;noviembre;2024
Proyeccion Compra de Fruta Ajustada;5500.10;noviembre;2024
Fruta Recibida;5400.25;diciembre;2024
Fruta Proyectada;6000.00;diciembre;2024
Proyeccion Compra de Fruta Ajustada;5700.20;diciembre;2024

