DESCRIPCION;T.M.;MES;year
Fruta Recibida;1200.50;enero;2024
Fruta Proyectada;1500.00;enero;2024
Proyeccion Compra de Fruta Ajustada;1350.25;enero;2024
Fruta Recibida;1100.75;febrero;2024
Fruta Proyectada;1400.00;febrero;2024
Proyeccion Compra de Fruta Ajustada;1250.50;febrero;2024
Fruta Recibida;1300.25;marzo;2024
Fruta Proyectada;1600.00;marzo;2024
Proyeccion Compra de Fruta Ajustada;1450.00;marzo;2024
Fruta Recibida;1500.80;abril;2024
Fruta Proyectada;1800.00;abril;2024
Proyeccion Compra de Fruta Ajustada;1650.60;abril;2024
Fruta Recibida;1800.45;mayo;2024
Fruta Proyectada;2100.00;mayo;2024
Proyeccion Compra de Fruta Ajustada;1950.30;mayo;2024
Fruta Recibida;2200.60;junio;2024
Fruta Proyectada;2500.00;junio;2024
Proyeccion Compra de Fruta Ajustada;2350.50;junio;2024
Fruta Recibida;2800.75;julio;2024
Fruta Proyectada;3200.00;julio;2024
Proyeccion Compra de Fruta Ajustada;3000.60;julio;2024
Fruta Recibida;3200.90;agosto;2024
Fruta Proyectada;3600.00;agosto;2024
Proyeccion Compra de Fruta Ajustada;3400.80;agosto;2024
Fruta Recibida;3000.15;septiembre;2024
Fruta Proyectada;3400.00;septiembre;2024
Proyeccion Compra de Fruta Ajustada;3200.10;septiembre;2024
Fruta Recibida;2500.40;octubre;2024
Fruta Proyectada;2900.00;octubre;2024
Proyeccion Compra de Fruta Ajustada;2700.30;octubre;2024
Fruta Recibida;2000.55;noviembre;2024
Fruta Proyectada;2400.00;noviembre;2024
Proyeccion Compra de Fruta Ajustada;2200.45;noviembre;2024
Fruta Recibida;1500.70;diciembre;2024
Fruta Proyectada;1900.00;diciembre;2024
Proyeccion Compra de Fruta Ajustada;1700.60;diciembre;2024

