DESCRIPCION;T.M.;MES;year
Fruta Recibida;100.00;enero;2024
Fruta Proyectada;150.00;enero;2024
Proyeccion Compra de Fruta Ajustada;125.00;enero;2024
Fruta Recibida;200.00;febrero;2024
Fruta Proyectada;250.00;febrero;2024
Proyeccion Compra de Fruta Ajustada;225.00;febrero;2024
Fruta Recibida;300.00;marzo;2024
Fruta Proyectada;350.00;marzo;2024
Proyeccion Compra de Fruta Ajustada;325.00;marzo;2024
Fruta Recibida;400.00;abril;2024
Fruta Proyectada;450.00;abril;2024
Proyeccion Compra de Fruta Ajustada;425.00;abril;2024
Fruta Recibida;500.00;mayo;2024
Fruta Proyectada;550.00;mayo;2024
Proyeccion Compra de Fruta Ajustada;525.00;mayo;2024
Fruta Recibida;600.00;junio;2024
Fruta Proyectada;650.00;junio;2024
Proyeccion Compra de Fruta Ajustada;625.00;junio;2024
Fruta Recibida;700.00;julio;2024
Fruta Proyectada;750.00;julio;2024
Proyeccion Compra de Fruta Ajustada;725.00;julio;2024
Fruta Recibida;800.00;agosto;2024
Fruta Proyectada;850.00;agosto;2024
Proyeccion Compra de Fruta Ajustada;825.00;agosto;2024
Fruta Recibida;900.00;septiembre;2024
Fruta Proyectada;950.00;septiembre;2024
Proyeccion Compra de Fruta Ajustada;925.00;septiembre;2024
Fruta Recibida;1000.00;octubre;2024
Fruta Proyectada;1050.00;octubre;2024
Proyeccion Compra de Fruta Ajustada;1025.00;octubre;2024
Fruta Recibida;1100.00;noviembre;2024
Fruta Proyectada;1150.00;noviembre;2024
Proyeccion Compra de Fruta Ajustada;1125.00;noviembre;2024
Fruta Recibida;1200.00;diciembre;2024
Fruta Proyectada;1250.00;diciembre;2024
Proyeccion Compra de Fruta Ajustada;1225.00;diciembre;2024

