DESCRIPCION;T.M.;MES;year
Fruta Recibida;2000.00;enero;2024
Fruta Proyectada;2200.00;enero;2024
Proyeccion Compra de Fruta Ajustada;2100.00;enero;2024
Fruta Recibida;2200.00;febrero;2024
Fruta Proyectada;2400.00;febrero;2024
Proyeccion Compra de Fruta Ajustada;2300.00;febrero;2024
Fruta Recibida;2400.00;marzo;2024
Fruta Proyectada;2600.00;marzo;2024
Proyeccion Compra de Fruta Ajustada;2500.00;marzo;2024
Fruta Recibida;2600.00;abril;2024
Fruta Proyectada;2800.00;abril;2024
Proyeccion Compra de Fruta Ajustada;2700.00;abril;2024
Fruta Recibida;2800.00;mayo;2024
Fruta Proyectada;3000.00;mayo;2024
Proyeccion Compra de Fruta Ajustada;2900.00;mayo;2024
Fruta Recibida;3000.00;junio;2024
Fruta Proyectada;3200.00;junio;2024
Proyeccion Compra de Fruta Ajustada;3100.00;junio;2024
Fruta Recibida;3200.00;julio;2024
Fruta Proyectada;3400.00;julio;2024
Proyeccion Compra de Fruta Ajustada;3300.00;julio;2024
Fruta Recibida;3400.00;agosto;2024
Fruta Proyectada;3600.00;agosto;2024
Proyeccion Compra de Fruta Ajustada;3500.00;agosto;2024
Fruta Recibida;3600.00;septiembre;2024
Fruta Proyectada;3800.00;septiembre;2024
Proyeccion Compra de Fruta Ajustada;3700.00;septiembre;2024
Fruta Recibida;3800.00;octubre;2024
Fruta Proyectada;4000.00;octubre;2024
Proyeccion Compra de Fruta Ajustada;3900.00;octubre;2024
Fruta Recibida;4000.00;noviembre;2024
Fruta Proyectada;4200.00;noviembre;2024
Proyeccion Compra de Fruta Ajustada;4100.00;noviembre;2024
Fruta Recibida;4200.00;diciembre;2024
Fruta Proyectada;4400.00;diciembre;2024
Proyeccion Compra de Fruta Ajustada;4300.00;diciembre;2024

