DESCRIPCION;T.M.;MES;year
Proyeccion Compra de Fruta Ajustada; 10000.00 ;julio;2019
Proyeccion Compra de Fruta Ajustada; 10000.00 ;agosto;2019
Proyeccion Compra de Fruta Ajustada; 10000.00 ;septiembre;2019
Proyeccion Compra de Fruta Ajustada; 12040.00 ;octubre;2019
Proyeccion Compra de Fruta Ajustada; 8832.00 ;noviembre;2019
Proyeccion Compra de Fruta Ajustada; 5624.00 ;diciembre;2019
Fruta Proyectada 2019; 6500.00 ;enero;2019
Fruta Proyectada 2019; 4500.00 ;febrero;2019
Fruta Proyectada 2019; 5300.00 ;marzo;2019
Fruta Proyectada 2019; 9500.00 ;abril;2019
Fruta Proyectada 2019; 15000.00 ;mayo;2019
Fruta Proyectada 2019; 19000.00 ;junio;2019
Fruta Proyectada 2019; 19000.00 ;julio;2019
Fruta Proyectada 2019; 22000.00 ;agosto;2019
Fruta Proyectada 2019; 17000.00 ;septiembre;2019
Fruta Proyectada 2019; 16000.00 ;octubre;2019
Fruta Proyectada 2019; 12000.00 ;noviembre;2019
Fruta Proyectada 2019; 8000.00 ;diciembre;2019
Fruta Proyectada 2020; 5605.55 ;enero;2020
Fruta Proyectada 2020; 4209.97 ;febrero;2020
Fruta Proyectada 2020; 4971.27 ;marzo;2020
Fruta Proyectada 2020; 9248.75 ;abril;2020
Fruta Proyectada 2020; 14969.01 ;mayo;2020
Fruta Proyectada 2020; 18664.79 ;junio;2020
Fruta Proyectada 2020; 14394.28 ;julio;2020
Fruta Proyectada 2020; 15732.97 ;agosto;2020
Fruta Proyectada 2020; 13506.39 ;septiembre;2020
Fruta Proyectada 2020; 12592.66 ;octubre;2020
Fruta Proyectada 2020; 12318.52 ;noviembre;2020
Fruta Proyectada 2020; 8353.52 ;diciembre;2020
Fruta Proyectada 2021; 4500.00 ;enero;2021
Fruta Proyectada 2021; 4500.00 ;febrero;2021
Fruta Proyectada 2021; 5500.00 ;marzo;2021
Fruta Proyectada 2021; 10000.00 ;abril;2021
Fruta Proyectada 2021; 15000.00 ;mayo;2021
Fruta Proyectada 2021; 15500.00 ;junio;2021
Fruta Proyectada 2021; 16000.00 ;julio;2021
Fruta Proyectada 2021; 17000.00 ;agosto;2021
Fruta Proyectada 2021; 17000.00 ;septiembre;2021
Fruta Proyectada 2021; 14000.00 ;octubre;2021
Fruta Proyectada 2021; 13000.00 ;noviembre;2021
Fruta Proyectada 2021; 8000.00 ;diciembre;2021
Fruta Proyectada 2022; 6500.00 ;enero;2022
Fruta Proyectada 2022; 6000.00 ;febrero;2022
Fruta Proyectada 2022; 8500.00 ;marzo;2022
Fruta Proyectada 2022; 11000.00 ;abril;2022
Fruta Proyectada 2022; 14000.00 ;mayo;2022
Fruta Proyectada 2022; 15000.00 ;junio;2022
Fruta Proyectada 2022; 17000.00 ;julio;2022
Fruta Proyectada 2022; 18000.00 ;agosto;2022
Fruta Proyectada 2022; 19000.00 ;septiembre;2022
Fruta Proyectada 2022; 20000.00 ;octubre;2022
Fruta Proyectada 2022; 13000.00 ;noviembre;2022
Fruta Proyectada 2022; 9000.00 ;diciembre;2022
Fruta Proyectada 2023; 18000.00 ;enero;2023
Fruta Proyectada 2023; 19000.00 ;febrero;2023
Fruta Proyectada 2023; 16000.00 ;marzo;2023
Fruta Proyectada 2023; 14000.00 ;abril;2023
Fruta Proyectada 2023; 22000.00 ;mayo;2023
Fruta Proyectada 2023; 23000.00 ;junio;2023
Fruta Proyectada 2023; 24000.00 ;julio;2023
Fruta Proyectada 2023; 26000.00 ;agosto;2023
Fruta Proyectada 2023; 30000.00 ;septiembre;2023
Fruta Proyectada 2023; 31000.00 ;octubre;2023
Fruta Proyectada 2023; 23000.00 ;noviembre;2023
Fruta Proyectada 2023; 19000.00 ;diciembre;2023
Fruta Proyectada 2024; 14000.00 ;enero;2024
Fruta Proyectada 2024; 15000.00 ;febrero;2024
Fruta Proyectada 2024; 16000.00 ;marzo;2024
Fruta Proyectada 2024; 18600.00 ;abril;2024
Fruta Proyectada 2024; 19000.00 ;mayo;2024
Fruta Proyectada 2024; 21000.00 ;junio;2024
Fruta Proyectada 2024; 21000.00 ;julio;2024
Fruta Proyectada 2024; 22500.00 ;agosto;2024
Fruta Proyectada 2024; 23500.00 ;septiembre;2024
Fruta Proyectada 2024; 23000.00 ;octubre;2024
Fruta Proyectada 2024; 20000.00 ;noviembre;2024
Fruta Proyectada 2024; 15000.00 ;diciembre;2024
Fruta Proyectada 2025; 9500.00 ;enero;2025
Fruta Proyectada 2025; 9500.00 ;febrero;2025
Fruta Proyectada 2025; 12450.00 ;marzo;2025
Fruta Proyectada 2025; 12500.00 ;abril;2025
Fruta Proyectada 2025; 20000.00 ;mayo;2025
Fruta Proyectada 2025; 23000.00 ;junio;2025
Fruta Proyectada 2025; 27000.00 ;julio;2025
Fruta Proyectada 2025; 27500.00 ;agosto;2025
Fruta Proyectada 2025; 22500.00 ;septiembre;2025
Fruta Proyectada 2025; 22000.00 ;octubre;2025
Fruta Proyectada 2025; 22000.00 ;noviembre;2025
Fruta Proyectada 2025; 17300.00 ;diciembre;2025
