DESCRIPCION;T.M.;MES;year
1 Fruta Recibida;3365.65;enero;2017
2 Fruta Recibida;4711.10;enero;2018
3 Fruta Recibida;10348.30;enero;2019
2 Fruta Proyectada;6500.00;enero;2019
3 Proyeccion Compra de Fruta Ajustada;10348.30;enero;2019
4 Fruta Recibida;4,627.31;enero;2020
5 Fruta proyectada;5,605.55;enero;2020
5 Fruta recibida;5915.01;enero;2021
3 Fruta Proyectada;4500.00;enero;2021
6 Fruta recibida;10779.39;enero;2022
4 Fruta Proyectada;6500.00;enero;2022
7 Fruta Recibida;18082.94;enero;2023
6 Fruta Proyectada;11445.00;enero;2023
8 Fruta Recibida;7367.69;enero;2024
7 Fruta Proyectada;14000.00;enero;2024
9 Fruta Recibida;9238.81;enero;2025
8 Fruta Proyectada;9500.00;enero;2025
1 Fruta Recibida;3331.73;febrero;2017
2 Fruta Recibida;3919.94;febrero;2018
3 Fruta Recibida;4147.25;febrero;2019
2 Fruta Proyectada;4500.00;febrero;2019
3 Proyeccion Compra de Fruta Ajustada;4147.25;febrero;2019
4 Fruta Recibida;4090.68;febrero;2020
5 Fruta proyectada;4209.97;febrero;2020
5 Fruta recibida;5756.48;febrero;2021
3 Fruta Proyectada;4500.00;febrero;2021
6 Fruta recibida;8431.77;febrero;2022
4 Fruta Proyectada;6000.00;febrero;2022
7 Fruta Recibida;18463.83;febrero;2023
6 Fruta Proyectada;19000.00;febrero;2023
8 Fruta Recibida;7763.48;febrero;2024
7 Fruta Proyectada;15000.00;febrero;2024
9 Fruta Recibida;9469.72;febrero;2025
8 Fruta Proyectada;9500.00;febrero;2025
1 Fruta Recibida;5231.66;marzo;2017
2 Fruta Recibida;4642.53;marzo;2018
3 Fruta Recibida;8160.75;marzo;2019
2 Fruta Proyectada;5300.00;marzo;2019
3 Proyeccion Compra de Fruta Ajustada;8160.75;marzo;2019
4 Fruta Recibida;5405.51;marzo;2020
5 Fruta proyectada;4971.27;marzo;2020
5 Fruta recibida;8120.39;marzo;2021
3 Fruta Proyectada;5500.00;marzo;2021
6 Fruta recibida;9078.40;marzo;2022
4 Fruta Proyectada;8500.00;marzo;2022
7 Fruta Recibida;23323.59;marzo;2023
6 Fruta Proyectada;16000.00;marzo;2023
8 Fruta Recibida;5740.59;marzo;2024
7 Fruta Proyectada;16000.00;marzo;2024
9 Fruta Recibida;14411.91;marzo;2025
8 Fruta Proyectada;12450.00;marzo;2025
1 Fruta Recibida;5597.24;abril;2017
2 Fruta Recibida;8997.49;abril;2018
3 Fruta Recibida;11467.48;abril;2019
2 Fruta Proyectada;9500.00;abril;2019
3 Proyeccion Compra de Fruta Ajustada;11467.48;abril;2019
4 Fruta Recibida;9014.23;abril;2020
5 Fruta proyectada;9248.75;abril;2020
5 Fruta recibida;9210.98;abril;2021
3 Fruta Proyectada;10000.00;abril;2021
6 Fruta recibida;9954.29;abril;2022
4 Fruta Proyectada;11000.00;abril;2022
7 Fruta Recibida;18289.40;abril;2023
6 Fruta Proyectada;14000.00;abril;2023
8 Fruta Recibida;7452.13;abril;2024
7 Fruta Proyectada;18600.00;abril;2024
9 Fruta Recibida;16999.09;abril;2025
8 Fruta Proyectada;12500.00;abril;2025
1 Fruta Recibida;9585.13;mayo;2017
2 Fruta Recibida;14938.02;mayo;2018
3 Fruta Recibida;13153.39;mayo;2019
2 Fruta Proyectada;15000.00;mayo;2019
3 Proyeccion Compra de Fruta Ajustada;13153.39;mayo;2019
4 Fruta Recibida;15774.20;mayo;2020
5 Fruta proyectada;14969.01;mayo;2020
5 Fruta recibida;10890.21;mayo;2021
3 Fruta Proyectada;15000.00;mayo;2021
6 Fruta recibida;15841.69;mayo;2022
4 Fruta Proyectada;14000.00;mayo;2022
7 Fruta Recibida;18580.37;mayo;2023
6 Fruta Proyectada;22000.00;mayo;2023
8 Fruta Recibida;19739.58;mayo;2024
7 Fruta Proyectada;19000.00;mayo;2024
9 Fruta Recibida;30309.94;mayo;2025
8 Fruta Proyectada;20000.00;mayo;2025
1 Fruta Recibida;10909.18;junio;2017
2 Fruta Recibida;18329.57;junio;2018
